OBJECTID,src_boro_c,nbr_boro_c,LENGTH,NODE_COUNT
1,1000201,1000202,0.005089645508128,0
2,1000201,1000600,0.005041948498419,0
3,1000201,1001401,0.001827431750946,0
4,1000202,1000201,0.005089645508128,0
5,1000202,1001001,0.004165425370332,0
6,1000202,1001200,0.002595452246340,0
7,1000202,1001401,0.002900655348862,0
8,1000202,3002100,0.000130398112022,0
9,1000500,3000700,0.001007497951371,0
10,1000500,3004700,0.004811449533808,0
11,1000500,3005300,0.004408129586248,0
12,1000600,1000201,0.005041948498419,0
13,1000600,1000800,0.005193860699101,0
14,1000600,1001401,0.003102909652989,0
15,1000600,1001600,0.002371129382040,0
16,1000700,1000900,0.006738431355674,0
17,1000700,1001300,0.003092107435894,0
18,1000700,1001502,0.007569415361567,0
19,1000700,3000100,0.000000000000000,1
20,1000700,3000301,0.001020731705943,0
21,1000800,1000600,0.005193860699101,0
22,1000800,1001600,0.004953534445353,0
23,1000800,1002500,0.003441923222120,0
24,1000800,1002700,0.002075363687552,0
25,1000800,1002900,0.000000000000000,1
26,1000900,1000700,0.006738431355674,0
27,1000900,1001300,0.003524445592456,0
28,1000900,1031900,0.004901197896421,0
29,1000900,3000301,0.002022043684445,0
30,1000900,3000700,0.000279567543209,0
31,1001001,1000202,0.004165425370332,0
32,1001001,1001002,0.004469716798744,0
33,1001001,1001200,0.002241682164311,0
34,1001002,1001001,0.004469716798744,0
35,1001002,1001200,0.001742444213586,0
36,1001002,1002000,0.005408565964820,0
37,1001002,1002201,0.003928112578642,0
38,1001002,1002202,0.000000000000000,1
39,1001200,1000202,0.002595452246340,0
40,1001200,1001001,0.002241682164311,0
41,1001200,1001002,0.001742444213586,0
42,1001200,1001401,0.002663833654113,0
43,1001200,1001402,0.003525741306454,0
44,1001200,1002201,0.004861967974465,0
45,1001300,1000700,0.003092107435894,0
46,1001300,1000900,0.003524445592456,0
47,1001300,1001501,0.000684704345125,0
48,1001300,1001502,0.002278558225672,0
49,1001300,1002100,0.005738046947936,0
50,1001300,1003100,0.000000000000000,1
51,1001300,1031703,0.002787956434972,0
52,1001300,1031704,0.006602710922572,0
53,1001300,1031900,0.002512614755070,0
54,1001401,1000201,0.001827431750946,0
55,1001401,1000202,0.002900655348862,0
56,1001401,1000600,0.003102909652989,0
57,1001401,1001200,0.002663833654113,0
