Date,Time_Period,Census_Tracts,Volume
2017-04-10,midday,1000201,1
2017-05-02,evening,1000201,1
2017-05-06,midday,1000201,1
2017-05-27,latenight,1000201,1
2017-05-30,evening,1000201,1
2017-06-08,evening,1000201,1
2017-07-11,evening,1000201,1
2017-08-08,evening,1000201,1
2017-08-20,morning,1000201,1
2017-09-28,evening,1000201,1
2017-10-10,latenight,1000201,1
2017-10-22,latenight,1000201,1
2017-11-21,latenight,1000201,1
2017-11-24,midday,1000201,1
2017-12-22,midday,1000201,1
2017-01-03,midday,1000202,1
2017-01-05,evening,1000202,1
2017-01-17,evening,1000202,1
2017-01-20,latenight,1000202,1
2017-01-21,latenight,1000202,1
2017-01-23,midday,1000202,1
2017-01-27,morning,1000202,1
2017-02-02,evening,1000202,1
2017-02-22,evening,1000202,1
2017-03-03,latenight,1000202,1
2017-03-10,morning,1000202,1
2017-03-20,morning,1000202,1
2017-04-04,evening,1000202,1
2017-04-25,latenight,1000202,1
2017-05-21,latenight,1000202,1
2017-05-31,midday,1000202,1
2017-06-01,midday,1000202,1
2017-06-11,evening,1000202,1
2017-06-12,morning,1000202,1
2017-07-04,latenight,1000202,1
2017-07-19,evening,1000202,1
2017-07-19,midday,1000202,1
2017-07-31,latenight,1000202,1
2017-08-14,midday,1000202,1
2017-08-18,midday,1000202,1
2017-09-09,midday,1000202,2
2017-09-12,evening,1000202,1
2017-10-09,latenight,1000202,1
2017-10-15,latenight,1000202,1
2017-11-16,latenight,1000202,1
2017-11-18,evening,1000202,1
2017-11-19,evening,1000202,1
2017-11-28,evening,1000202,1
2017-12-29,morning,1000202,1
2017-01-03,morning,1000600,1
2017-01-04,evening,1000600,1
2017-01-04,morning,1000600,1
2017-01-06,evening,1000600,1
2017-01-06,latenight,1000600,1
2017-01-10,latenight,1000600,1
2017-01-14,midday,1000600,1
2017-01-15,morning,1000600,1
2017-01-17,latenight,1000600,1
2017-01-19,midday,1000600,1
2017-01-21,evening,1000600,1
2017-01-22,morning,1000600,1
2017-01-24,midday,1000600,1
2017-01-26,latenight,1000600,1
2017-01-30,midday,1000600,1
2017-02-09,evening,1000600,1
2017-02-10,midday,1000600,1
2017-02-17,midday,1000600,1
2017-02-18,latenight,1000600,1
2017-02-18,morning,1000600,1
2017-02-28,morning,1000600,1
2017-03-01,midday,1000600,1
2017-03-01,morning,1000600,1
2017-03-07,evening,1000600,1
2017-03-07,midday,1000600,1
2017-03-08,midday,1000600,1
2017-03-09,evening,1000600,1
2017-03-12,morning,1000600,1
2017-03-13,midday,1000600,1
2017-03-21,evening,1000600,1
2017-03-25,latenight,1000600,1
2017-03-25,midday,1000600,1
2017-03-28,latenight,1000600,1
2017-03-30,midday,1000600,1
2017-04-03,midday,1000600,1
2017-04-05,midday,1000600,1
2017-04-11,midday,1000600,1
2017-04-15,midday,1000600,1
2017-04-16,evening,1000600,1
