CT_ID,Population,Household_Income
5000900,1826,55250
1009800,7200,134500
1010000,1768,106705
1010200,100,167500
1010400,919,120217
1011300,110,110000
1011402,1795,155353
1013000,3466,190208
1014000,7529,153906
1014801,3135,154306
1018400,7258,27132
1019000,3504,55536
1020600,3664,38021
3007800,5240,47143
3008000,3746,59432
1024900,1083,41786
1026100,13220,36000
1026300,9487,30961
1026900,9073,38211
1027700,6800,31327
3000501,4419,129107
3004100,3642,121818
3005800,3092,46985
3006000,3054,86800
3006700,3894,158194
3006900,3575,132500
3007400,5280,34850
3009800,7012,38696
3010100,4057,64612
3010200,5142,53550
3010400,5362,42697
3010800,3795,38042
3011000,2445,55625
3011400,4177,43965
3012801,2279,37128
3013000,5028,61410
3013200,2200,53065
3013300,4408,156467
3013700,3512,109081
3013900,3420,120580
3015100,4216,122456
3015300,2678,141250
3015500,4028,143641
3015700,4049,120272
5029102,2974,75889
3017000,3578,66510
3017800,3215,60733
3018600,2249,66600
3018800,2702,64406
3019000,4635,42891
3019200,3076,41442
3019400,3889,47632
3019500,3787,78964
3019600,3822,38973
3019700,3615,90487
3019800,1791,58750
3020400,2111,75991
3020800,3253,52679
3021000,4153,37623
3021200,4525,40472
3021400,2252,54375
3021900,3568,62621
3022000,4381,31732
3022100,3991,50434
3022200,3943,36033
3022700,3654,76549
3023500,4316,51678
3023600,6000,23600
3023800,3857,28399
3024000,4562,31019
3024200,2872,61591
3024500,4534,64000
3024600,2942,46027
3024700,2561,45769
3024800,2749,50739
3024900,4306,66455
3025000,1755,52852
3040600,3816,36292
3025200,4921,47315
3025400,4083,46454
3025600,3008,49236
3025800,4486,41375
3026000,3174,46667
3026200,2550,49357
3026300,1844,38631
3026400,4776,46027
3026600,3501,46974
3026700,4095,50811
3026800,3842,46544
3026900,3121,62125
3027000,2158,60741
3027200,3738,55231
3027300,3317,45900
3027400,3271,48750
3027600,3804,53813
3027800,3285,56607
3027900,3668,58786
3028400,3553,49200
3028501,462,91842
3028800,3566,47641
3029100,2927,44505
3029300,3315,38576
3029700,4373,58462
3029800,3707,55469
3030000,4196,50268
3030500,6350,70125
3030900,2126,36087
3031701,3401,56250
3032300,3641,66419
3032900,6224,42628
3033100,4064,42438
3033700,3920,67763
3033900,4711,37239
3034100,2937,51125
3034200,6270,19574
3036300,4716,31075
3038800,4040,62289
3039600,2038,42192
3039700,3417,38750
3039900,3822,40375
3040100,3169,44412
3040400,2391,52438
3040800,3548,73445
3041300,3965,39128
3041401,1612,59063
3041500,4192,56532
3041700,3101,32344
3041800,2622,34450
3041900,3614,38521
3042000,1640,54643
3042100,4226,41250
3042600,4282,48015
3042700,5064,51842
3042800,3879,52569
3042900,5326,49179
3043000,3492,37813
3043100,4936,62625
3043200,4323,49946
3043300,4014,32500
3043400,3389,52123
3043500,4912,50625
3043600,4678,44799
3043900,3706,53073
3044000,2862,44961
3044100,5094,52852
3044200,2950,71848
3044300,5014,50532
3044400,3310,48133
3044600,2171,60052
3045200,2658,76563
3045400,1645,58750
3045600,2376,33750
3046000,3568,51528
3047000,2708,46250
3047200,2579,51958
3047600,3800,35571
3049500,2654,87652
3049900,1827,78906
3050300,2591,83864
3050500,3817,32750
3050801,4088,47750
3051001,4168,50954
3051400,7942,48445
3051601,5201,52063
3051602,4013,55577
3051700,2529,106184
3051800,3188,60362
3052000,4297,59146
3052600,4658,65578
3052800,1814,83523
3053000,4098,39511
3053200,2740,63906
3053300,6766,26477
3053400,4577,32500
3053800,4640,32841
3054200,4480,41219
3054400,3764,49091
3055000,3330,60568
3055200,3296,51103
3055800,2398,54926
3056000,3518,51581
3056200,1713,55750
3056400,2519,89938
3056600,2876,66445
3056800,1548,84688
3056900,1580,81691
3057000,3494,62031
3057100,3873,57614
3057200,5427,18310
3057300,2410,82448
3057400,2907,93750
3057600,3045,75772
3057800,3391,52841
3058000,4129,43542
3058600,2901,66087
3059100,3979,92768
3059200,4229,60982
3059401,7457,55474
3059402,5309,71899
3059600,2309,53295
3060000,6700,54664
3063200,1604,74250
3063600,1464,105987
3063800,1966,105833
3064000,1794,109911
3064600,2297,94940
3064800,2191,78103
3065000,1576,64500
3065200,1121,91845
3065400,1486,90089
3065600,1774,77328
3065800,1963,81406
3066000,2231,100978
3067000,2888,80417
3067200,1685,70192
3067400,1972,79375
3067600,1797,83382
3067800,2681,88385
3068000,2293,74904
3068200,3112,99583
3068600,1776,57596
3068800,1647,91250
3069000,2146,101146
3069200,2918,107264
3072800,3811,55156
3073400,2021,87361
3073800,4203,62784
3074000,3636,60913
3074400,2704,104167
3074600,2637,82159
3074800,1929,76917
3075000,2711,58750
3075200,1047,153438
3075400,1466,109167
3075600,1996,82813
3076000,3108,57292
3076200,4651,48810
3076400,3815,55111
3076800,3183,41920
3078400,2558,82174
3079000,5257,37367
3079200,3338,39468
3079601,4695,57061
3080000,3907,72083
3080400,3283,41316
3080600,3743,39870
3081400,2792,39769
3081800,4631,60529
3082400,4470,41327
3083200,2089,58819
3083600,2202,59107
3083800,2208,62188
3084000,2469,49487
3084600,1973,57188
3084800,1733,53636
3085000,1525,67679
3086200,2753,42663
3086400,2284,45868
3086600,3079,46335
3086800,3325,48375
3087000,3205,36250
3087800,2524,35588
3089000,5587,28877
3089600,3175,33409
3089800,1614,35938
3090200,3140,41875
3091600,3787,33043
3092400,2608,36989
3013500,3920,134536
3092800,3140,55238
3093000,3030,67917
3095400,4230,76263
3096400,1769,54306
3096600,2680,67679
3096800,1567,67750
3097000,2784,90735
3098400,2086,69542
3098600,2961,68632
3099200,2370,86000
3099400,1850,72961
3099600,3715,69676
3100400,2645,63250
3100600,2500,78750
3100800,2149,68750
3101000,2247,73036
3101400,2263,69464
3101600,1802,83542
3102000,2325,103750
3102400,2307,87375
3102600,2868,75161
3111000,3330,17854
3112400,3316,48819
3112600,3395,33365
3112800,4012,38045
3113000,3970,31615
3113400,3219,19191
3114600,3066,41012
3115000,2812,41346
3115200,3080,38482
3115600,3835,16404
3116000,2235,27449
3116200,2299,39250
3116400,3495,51852
3117000,1860,36553
3117201,2662,58482
3117202,3344,50170
3119400,4466,39531
2003300,3534,20413
2003500,3900,31638
2003800,1434,36667
2004001,1485,49706
2017500,7223,27585
2004400,4607,19077
2004800,4680,32872
2006800,3294,48730
2007000,4584,36016
2008900,3200,24821
2012101,2906,28777
2012500,4195,31336
2013100,5076,36500
2014300,1399,15060
2016200,1966,71319
2016600,2364,76328
2017902,3701,19396
2020200,2252,29868
2020400,3091,45179
2020601,2336,50952
2021601,4356,30160
2022102,5528,21933
2022300,5078,26000
2023200,2711,57708
2023600,1904,38831
2024300,5630,20437
2024600,2082,63500
2025000,2582,76111
2025200,2711,63398
2025400,2097,53110
2028700,3000,54531
2028800,3288,102601
2030100,1392,85500
2031200,1598,76893
2031400,2209,86761
2033000,5885,37355
2036000,3149,61929
2036502,2328,28095
2036800,1988,50357
2037000,2528,45694
2037200,2279,47596
2039200,1655,40282
2039400,5308,31738
2039600,4741,39821
2039800,3587,75962
2040100,4610,31208
2040303,5102,38199
2040304,3903,22750
2040400,3370,49306
2040501,4435,35464
2040502,7260,28750
2040600,3845,48267
2040701,3259,35785
2042200,3292,54698
2042300,4500,35288
2042400,2562,71406
2042800,2114,69800
2042902,4205,26621
2043000,3551,55197
2043400,3884,45625
2043600,2042,67553
4000200,3208,67619
4001000,4230,79432
4001400,4152,64535
4001600,2644,78359
4002800,3382,63438
4003100,986,56250
4003800,2756,73281
4003900,1424,43194
4005100,1921,47786
4006502,3587,80747
4007900,2886,50072
4009400,2810,53674
4010200,2877,52443
4010400,3319,67589
4010600,3963,64716
4011100,3153,71570
4011200,2104,54113
4011300,4453,72861
4011400,1382,42321
4011500,2513,74688
4011600,2108,64167
4011700,3774,59934
4011900,1428,63750
4012100,2130,60119
4012400,3040,69265
4012601,2909,70179
4012602,2720,64000
4012800,2372,63490
4013000,1521,63409
4013600,1945,66645
4014000,3869,66917
4014300,3870,63487
4014500,2289,65313
4014700,2985,79118
4014900,1917,68152
4015300,1976,60577
4015400,2293,61815
4015600,2852,61917
4015802,4925,64219
4016100,2281,51964
4016400,3965,76414
4016600,4011,56852
4016800,3235,82700
4017200,2140,63920
4018000,1210,66739
4018501,3318,70066
4018502,3679,73917
4019000,2589,83006
4023000,1968,107176
4023200,5599,70729
4024700,1464,58125
4025900,3675,52891
4026100,6644,44720
4026600,1682,31850
4026901,4885,49643
4026902,3527,47222
4027000,2071,66250
4027100,8311,61645
4027200,2189,59412
4027300,6710,48333
4027400,1571,67167
4027500,6205,49063
4027700,8030,52667
4027900,6210,51875
4028000,1759,69850
4028100,4819,46576
4028300,7601,60531
