ctid,shape_area,building_a,percentage
5000900,2497009.714,1561802.16,0.625468996
1009800,1906016.35,1215886.506,0.637920292
1010000,1860938.377,1113593.24,0.598404146
1010200,1860992.705,1072704.641,0.576415286
1010400,1864600.375,1172095.805,0.628604295
1011300,1890907.291,1179309.946,0.623674123
1011402,1063547.414,653601.6319,0.614548654
1013000,1918144.54,1093722.15,0.570197984
1014000,1925984.223,1174563.189,0.609850888
1014801,559216.1578,309472.1925,0.553403524
1018400,1903568.353,1124776.939,0.590878146
1019000,1117371.679,517630.9386,0.463257615
1020600,1602693.822,624243.03,0.389496123
3007800,1509791.99,983808.6865,0.651618695
3008000,1506326.485,830211.8307,0.551149992
1024900,652856.343,118353.4968,0.181285666
1026100,1681539.06,868914.5388,0.516737648
1026300,1691891.994,723407.9992,0.427573392
1026900,1889655.548,855234.2829,0.452587395
1027700,1760155.988,488089.504,0.277299005
3000501,901506.9925,604310.5197,0.670333702
3004100,1744094.411,1081266.77,0.619958853
3005800,2080303.311,1337425.264,0.642899166
3006000,1639074.042,1029326.552,0.627992712
3006700,1680804.341,1135507.738,0.675574016
3006900,1927677.572,1140976.755,0.591891908
3007400,1516612.999,928006.3752,0.611893987
3009800,1625498.652,1075542.29,0.661669137
3010100,3393635.784,1268946.157,0.373919371
3010200,1640687.839,970707.4058,0.591646615
3010400,1639390.921,1081688.715,0.659811336
3010800,1624849.988,983084.8553,0.605031149
3011000,1699091.864,543110.4829,0.31964751
3011400,1806159.314,897123.6881,0.496702412
3012801,1238338.72,502545.7362,0.405822517
3013000,1899181.527,1267964.162,0.667637161
3013200,1665114.564,750572.6791,0.450763386
3013300,1596011.22,1080580.061,0.677050416
3013700,1638366.058,1021038.91,0.623205605
3013900,1631336.466,1088848.168,0.66745775
3015100,1607114.126,1048525.757,0.65242769
3015300,1619490.318,837196.8985,0.516950851
3015500,1610814.53,937359.7954,0.58191665
3015700,1802056.047,1152104.565,0.639327821
5029102,106429275.1,7251513.821,0.068134579
3017000,2249706.471,1390898.857,0.618257926
3017800,1765217.211,989757.0557,0.560699867
3018600,1216850.356,851087.9143,0.699418717
3018800,1885932.632,1201539.121,0.637106067
3019000,2291793.605,1402793.61,0.612094216
3019200,2042946.474,865802.2469,0.42380075
3019400,1920211.755,922558.3509,0.480446153
3019500,1475082.708,767000.8076,0.519971391
3019600,2027285.922,1271814.376,0.6273483
3019700,1828072.206,875146.8195,0.478726615
3019800,1450201.497,988193.5287,0.681418086
3020400,1450945.784,989840.7448,0.682203812
3020800,1542688.997,1062498.125,0.688731253
3021000,1614539.932,1087932.105,0.673834126
3021200,2054324.467,1222365.63,0.595020723
3021400,1808036.312,608376.6562,0.336484755
3021900,1582742.164,947610.8093,0.598714579
3022000,2091173.161,1239215.617,0.592593497
3022100,1617936.881,845313.4225,0.522463782
3022200,1896474.051,1141711.54,0.602018013
3022700,2588318.216,1146460.952,0.442936631
3023500,1523725.767,807807.8594,0.530153048
3023600,1828207.777,1085890.228,0.593964342
3023800,1828765.822,1124269.329,0.614769434
3024000,1827206.393,1112717.739,0.608972114
3024200,2061125.047,1084192.594,0.526019805
3024500,1795931.543,1150429.413,0.640575314
3024600,1845582.935,1154111.734,0.625337238
3024700,2028330.425,896971.0036,0.442221342
3024800,1895137.519,874015.9363,0.461188662
3024900,1813352.695,1052017.097,0.580150293
3025000,1867289.953,559986.2332,0.29989249
3040600,1582378.666,1096398.061,0.692879703
3025200,1950979.095,1292991.936,0.662740026
3025400,1888611.582,1149430.758,0.608611516
3025600,1869263.07,1128194.386,0.603550353
3025800,1832115.625,1245844.502,0.680003208
3026000,1753286.172,1217175.912,0.694225468
3026200,1699503.058,1070242.47,0.629738479
3026300,1287405.971,506053.9814,0.393080343
3026400,2038976.304,1332355.774,0.653443481
3026600,1785503.086,1232026.054,0.690016199
3026700,1717367.878,1124579.646,0.65482746
3026800,1926489.204,1252533.204,0.650163625
3026900,1441848.772,743884.4126,0.515924019
3027000,1444005.58,914796.5911,0.633513197
3027200,1422363.403,983593.2732,0.691520375
3027300,1611451.005,923199.3404,0.572899416
3027400,1758627.07,1107262.486,0.629617561
3027600,1607862.58,1024673.013,0.637288924
3027800,1727742.077,958475.3177,0.55475602
3027900,1743087.978,1112658.024,0.638325798
3028400,1768012.327,1223053.046,0.691767262
3028501,895739.6968,138825.7155,0.15498444
3028800,1644934.164,1059240.008,0.64394067
3029100,1772059.652,858403.2339,0.484409897
3029300,1770060.576,904953.5697,0.511255706
3029700,2212768.017,1227250.526,0.554622318
3029800,2379873.959,1388796.459,0.583558828
3030000,2099450.971,1293823.349,0.616267475
3030500,3474329.276,1489009.211,0.42857458
3030900,1587377.38,632181.1419,0.398255103
3031701,1504293.97,958441.0599,0.637136809
3032300,1862860.631,1046128.236,0.561570854
3032900,1683542.614,955905.5581,0.567794097
3033100,1533546.784,966654.0715,0.630338821
3033700,2126882.101,1068874.499,0.502554654
3033900,1945657.673,1224111.914,0.629150714
3034100,1504308.071,535098.223,0.355710531
3034200,2475181.553,1441064.939,0.582205752
3036300,2785736.459,1466993.341,0.526608803
3038800,2130565.925,1305752.926,0.612866708
3039600,1757819.546,1112967.872,0.633152518
3039700,1712820.273,944039.2854,0.551160738
3039900,1627809.275,891872.9913,0.54789772
3040100,1718318.954,932524.3095,0.542695701
3040400,1653839.791,966050.4305,0.584125763
3040800,1654268.744,1011165.793,0.611246387
3041300,1745182.881,1044159.324,0.598309401
3041401,1454192.396,730550.2894,0.502375264
3041500,1750287.791,1066097.84,0.609098598
3041700,1519400.535,1086030.534,0.714775669
3041800,1773170.32,1038936.658,0.585920397
3041900,1646861.671,928389.716,0.563732663
3042000,1820929.02,1021511.95,0.560983948
3042100,1651413.353,1017801.102,0.616321226
3042600,1829969.144,1077617.85,0.588872142
3042700,1595494.714,950480.0283,0.595727469
3042800,1773181.658,1083985.53,0.611322323
3042900,1809836.561,986169.4419,0.544894198
3043000,1721309.636,820380.3449,0.476602424
3043100,1810786.865,1023953.556,0.565474367
3043200,1593340.969,952529.9348,0.59781927
3043300,1810979.341,901818.1829,0.497972651
3043400,1509164.808,945512.3987,0.626513681
3043500,1810895.363,966798.6395,0.533878798
3043600,1480301.677,976383.2961,0.659583996
3043900,2152392.831,1194816.852,0.55511096
3044000,2173529.656,1240721.513,0.570832567
3044100,1528572.533,967683.7622,0.633063686
3044200,1969036.007,1287141.86,0.653691378
3044300,1805749.998,1052960.782,0.583115483
3044400,1878090.012,1205881.522,0.642078662
3044600,1519495.979,669874.9082,0.44085336
3045200,2005613.079,1281649.991,0.639031528
3045400,1423881.815,827855.3963,0.581407381
3045600,1653625.098,956195.4,0.578241949
3046000,2107798.136,1372974.242,0.651378431
3047000,1966226.07,1062740.851,0.540497793
3047200,1850619.132,1062069.817,0.573899728
3047600,2236222.6,1306701.561,0.584334297
3049500,1389722.735,827920.7456,0.59574527
3049900,1532199.801,608931.4062,0.397422977
3050300,1348755.419,816033.8381,0.605027291
3050500,1823285.676,897789.2303,0.492401845
3050801,842216.0606,567470.271,0.673782296
3051001,828176.5767,483366.5718,0.583651585
3051400,1949161.836,1238653.169,0.6354799
3051601,1247781.408,788570.5648,0.631978133
3051602,979567.9559,614601.4684,0.627420961
3051700,2020312.329,621814.7213,0.307781481
3051800,2170111.34,1400559.12,0.645385835
3052000,2056594.475,1246512.138,0.606104973
3052600,1823527.02,1104250.4,0.605557465
3052800,1891640.222,1221270.486,0.645614569
3053000,1861290.054,1085300.763,0.583090616
3053200,1876179.01,963117.6224,0.513339941
3053300,2078811.967,1101976.955,0.53009939
3053400,1866105.772,1248502.186,0.66904149
3053800,1770108.615,1044564.568,0.590113262
3054200,2036089.77,1302525.546,0.639719115
3054400,2045270.611,1282704.539,0.627156393
3055000,1937232.771,1230876.915,0.635378945
3055200,1805017.4,983072.0544,0.544633007
3055800,1847310.158,917410.1493,0.496619447
3056000,1988439.594,1329702.423,0.668716529
3056200,1838820.874,1247543.193,0.678447374
3056400,1972387.642,1281263.086,0.649600037
3056600,1846300.401,1104386.028,0.598161614
3056800,1267976.136,765315.8046,0.603572719
3056900,1376243.887,602268.9191,0.43761787
3057000,2824696.889,1508288.04,0.533964563
3057100,1892836.353,1269427.842,0.67064849
3057200,2622725.166,2177764.528,0.830344161
3057300,1831149.523,894980.7376,0.4887535
3057400,1713577.629,1167625.08,0.68139608
3057600,1707334.544,1111045.621,0.650748633
3057800,1853782.133,1143837.282,0.617028971
3058000,1707766.255,1038096.637,0.607868105
3058600,1759616.26,1005065.116,0.571184262
3059100,2060784.36,1022236.678,0.496042525
3059200,2360097.749,1463565.563,0.620129214
3059401,4528015.907,2812550.825,0.621144202
3059402,3470556.205,2305660.994,0.66434913
3059600,1863185.138,1043630.364,0.560132401
3060000,4732242.741,2861257.274,0.604630284
3063200,1264075.903,713870.8162,0.564737303
3063600,1230571.816,837772.4646,0.680799328
3063800,1498401.257,979470.4625,0.653677016
3064000,1651211.884,1095615.039,0.663521774
3064600,1782721.283,1141597.505,0.640367911
3064800,1631120.822,1105185.801,0.677562193
3065000,1789145.881,935633.745,0.522949948
3065200,1875210.128,1138346.224,0.607049955
3065400,1631231.599,1126706.896,0.690709337
3065600,1653143.993,1140942.996,0.690165528
3065800,1650702.279,1099049.248,0.66580707
3066000,1639605.383,1126830.121,0.687256905
3067000,2244629.177,1329875.297,0.592469933
3067200,1876487.989,769818.3744,0.410244232
3067400,2039940.895,1260090.484,0.617709311
3067600,1672665.675,968089.0751,0.578770217
3067800,1789096.28,1217119.046,0.680298238
3068000,1817783.466,1089846.054,0.599546687
3068200,2176848.589,1401047.957,0.643612957
3068600,1592924.452,955696.316,0.599963366
3068800,1686416.912,1080470.455,0.640690002
3069000,1861629.045,1131935.723,0.608035057
3069200,1952887.726,1177231.545,0.602815784
3072800,2282665.341,1453209.388,0.636628314
3073400,1626698.011,887210.2423,0.545405623
3073800,1944417.156,1110230.507,0.570983702
3074000,1747894.616,1064042.315,0.608756561
3074400,1844716.483,1248068,0.676563587
3074600,2159993.828,1046369.114,0.48443153
3074800,1900351.998,1130984.254,0.595144613
3075000,1866699.15,1302031.347,0.697504655
3075200,1864085.121,1265816,0.679054827
3075400,1867167.796,1195188.147,0.64010752
3075600,1867819.331,1191314.114,0.637810143
3076000,1954536.395,1264473.457,0.646942907
3076200,2024074.617,1331850.52,0.658004655
3076400,1740194.686,1131237.091,0.650063524
3076800,3265655.286,1303682.438,0.399210059
3078400,1801875.971,1217253.617,0.675547949
3079000,1965032.156,1217231.696,0.619446197
3079200,2332263.87,1310075.557,0.561718412
3079601,1188358.751,874762.4499,0.736109739
3080000,1869357.374,1288020.867,0.689017993
3080400,2042543.224,1016907.011,0.497863154
3080600,1790089.338,848246.5272,0.473857091
3081400,1831958.592,1041019.148,0.568254737
3081800,1699559.936,1047339.146,0.616241372
3082400,2307258.416,1386482.285,0.600921975
3083200,1566888.337,1006845.062,0.642576142
3083600,2240975.58,846346.0881,0.37766859
3083800,1796855.892,1134503.432,0.631382537
3084000,1830663.382,982749.3073,0.536826878
3084600,1778802.697,981008.4778,0.55149932
3084800,1479845.466,867787.642,0.586404231
3085000,1556707.691,796685.7427,0.511776069
3086200,1508724.512,955618.5608,0.633394999
3086400,1621224.171,871321.5411,0.537446676
3086600,1684237.127,980062.2361,0.581902762
3086800,1879388.248,1117782.653,0.594758775
3087000,1676352.267,985570.5768,0.587925698
3087800,1629552.999,645242.9999,0.395963188
3089000,2672111.257,1219204.802,0.456270224
3089600,1605933.843,838773.312,0.522296305
3089800,1661399.967,697288.3926,0.419699294
3090200,2051102.74,1261716.525,0.615140578
3091600,2321085.511,1297082.223,0.558825695
3092400,2709111.047,1065787.615,0.393408611
3013500,1635300.973,797634.8155,0.487760253
3092800,1692107.991,969071.3833,0.572700672
3093000,2090418.963,1082474.41,0.517826536
3095400,2551621.316,1578288.19,0.618543269
3096400,1900792.266,1085327.194,0.570986748
3096600,1950813.549,1132404.791,0.580478227
3096800,1603786.871,945091.5862,0.589287519
3097000,1759315.575,964659.0916,0.548314984
3098400,1214786.691,815891.3487,0.671633427
3098600,1677791.553,1024523.851,0.610638341
3099200,1448961.107,914239.099,0.630961794
3099400,1872516.877,785589.6461,0.419536751
3099600,2041897.35,1242031.368,0.608273167
3100400,1421504.199,927385.9315,0.652397603
3100600,1637144.158,1117270.728,0.682451037
3100800,1602833.033,984798.9309,0.614411427
3101000,1844400.828,1230919.796,0.667381937
3101400,1668038.251,1135987.918,0.681032295
3101600,1210060.371,844780.8456,0.698131156
3102000,1690994.82,1120407.691,0.662573107
3102400,1540219.432,946960.439,0.614821771
3102600,1462012.237,922201.0532,0.630775195
3111000,1326238.836,1026328.177,0.773863764
3112400,1914338.597,1056793.889,0.552041259
3112600,1813472.222,982311.1037,0.541674194
3112800,1982798.096,1230448.491,0.620561667
3113000,2086280.511,1212114.525,0.580993073
3113400,1651198.272,712179.212,0.431310536
3114600,1723239.684,968920.5016,0.562266823
3115000,1703334.326,842154.6205,0.49441534
3115200,1788251.721,998894.0143,0.558586916
3115600,1720940.1,781878.0193,0.45433192
3116000,1629832.721,986423.7171,0.605230036
3116200,1543810.231,966418.6097,0.625995728
3116400,1954432.435,1105428.428,0.565600738
3117000,1653944.02,593089.4809,0.358591025
3117201,1390018.149,893884.2726,0.643073814
3117202,1634622.145,1088754.511,0.666058829
3119400,1964536.042,1200004.296,0.610833434
2003300,1639977.723,602944.4666,0.367654059
2003500,1525330.738,481059.4059,0.315380392
2003800,682166.2139,393780.9247,0.5772507
2004001,1325276.16,659267.6665,0.497456822
2017500,1631792.279,766486.5073,0.469720636
2004400,2884623.978,1822328.612,0.631738704
2004800,1568167.57,570574.7788,0.363848092
2006800,1692236.887,780758.3315,0.4613765
2007000,2207823.454,1388127.065,0.628731008
2008900,1174411.473,572637.4889,0.487595278
2012101,1251776.337,616966.4972,0.492872791
2012500,1828803.462,882679.927,0.482654339
2013100,2475848.319,1047140.591,0.422942142
2014300,1395894.379,238944.4245,0.171176579
2016200,1944076.728,1279313.308,0.658057004
2016600,3078388.742,1618926.766,0.525900691
2017902,827548.3041,343169.9811,0.414682719
2020200,1343331.054,753215.0545,0.560706947
2020400,1447955.991,772878.4643,0.533772068
2020601,1629908.752,975807.5375,0.598688446
2021601,1761363.11,821580.8749,0.466446056
2022102,842620.1185,452575.4707,0.53710499
2022300,1001578.111,541570.0626,0.540716752
2023200,1536082.354,882870.6355,0.574754754
2023600,989504.9787,542468.5965,0.5482222
2024300,1607394.771,940989.972,0.58541311
2024600,1640625.779,1016099.777,0.619336713
2025000,1955822.495,1239856.255,0.63393087
2025200,2048258.644,1367164.774,0.667476629
2025400,1828910.83,1043291.204,0.570443997
2028700,1670599.1,1052010.897,0.629720738
2028800,3616695.499,2271207.61,0.627978665
2030100,1583340.316,829792.1703,0.524076954
2031200,2175834.037,1430136.729,0.657282084
2031400,2272270.79,1353744.51,0.595767246
2033000,2218401.189,1218391.738,0.549220648
2036000,2857374.967,1629128.991,0.570148829
2036502,1050346.584,503323.3054,0.479197356
2036800,1820227.869,1013544.955,0.556823116
2037000,1709084.351,1085868.989,0.635351315
2037200,2008935.365,856481.7995,0.426336165
2039200,1035565.147,587329.7314,0.567158651
2039400,1560974.407,1011228.996,0.647819074
2039600,2402726.497,1535952.765,0.6392541
2039800,2172955.464,1250129.02,0.575312767
2040100,1841945.88,624704.0501,0.3391544
2040303,949187.8451,551398.5277,0.580916128
2040304,723328.3203,479312.5397,0.662648657
2040400,2316966.963,1453999.326,0.627544263
2040501,873437.2412,507775.802,0.581353506
2040502,1534114.671,1045328.11,0.68138851
2040600,2403938.473,1522229.96,0.633223345
2040701,630565.9648,343720.1363,0.545097826
2042200,1884434.553,1283172.353,0.680932299
2042300,1939179.595,546285.6137,0.281709654
2042400,1882378.371,1175360.86,0.624402022
2042800,1821035.079,1084183.197,0.595366454
2042902,1011499.021,657477.9747,0.65000357
2043000,2219376.164,1367451.26,0.616142176
2043400,3761012.916,1342734.702,0.357014116
2043600,1679294.22,1060850.771,0.631724184
4000200,1665497.044,1099005.877,0.659866603
4001000,1743090.012,1294819.76,0.742830118
4001400,2305944.341,1624055.893,0.70429102
4001600,1623632.687,1066931.749,0.657126306
4002800,2386683.268,1381322.627,0.578762438
4003100,1775765.133,609161.1756,0.343041523
4003800,1896703.607,995952.3276,0.525096448
4003900,1580667.032,392591.926,0.248371047
4005100,1476104.593,532963.6686,0.361060911
4006502,1650722.263,1160796.48,0.7032052
4007900,1727511.123,976924.911,0.565510055
4009400,1869642.049,1141247.07,0.610409394
4010200,2302072.588,1337461.815,0.5809816
4010400,2007367.444,1430786.449,0.712767587
4010600,1862499.156,1205278.973,0.647129943
4011100,1622555.602,1005245.206,0.619544381
4011200,2029245.426,1043241.224,0.514103031
4011300,1922996.042,1227512.518,0.638333357
4011400,1308602.975,620334.4567,0.474043288
4011500,1997244.194,1072514.249,0.536997054
4011600,1502722.922,904289.5557,0.601767327
4011700,2290673.01,1494644.298,0.652491338
4011900,1199795.087,685132.3178,0.57104111
4012100,1484400.402,915498.848,0.616746564
4012400,2103190.187,1203690.269,0.572316416
4012601,1585195.988,1060299.155,0.66887575
4012602,1583994.728,1096577.742,0.692286232
4012800,1721777.313,1211508.888,0.703638548
4013000,2016151.032,1187413.752,0.588950794
4013600,1632351.176,812679.5013,0.497858251
4014000,2390486.939,1511081.063,0.632122702
4014300,1469451.935,1026942.536,0.698860923
4014500,1374739.954,904532.4652,0.65796623
4014700,1592386.541,1029407.051,0.646455508
4014900,1147477.904,698800.2124,0.608987946
4015300,1309390.558,776442.4027,0.592979992
4015400,1617854.278,912874.7215,0.564250275
4015600,2253099.498,1392775.912,0.618159967
4015802,2997105.577,2026886.147,0.676281197
4016100,1157640.32,695761.3501,0.60101686
4016400,2129308.784,1491313.534,0.700374481
4016600,2185345.389,1415472.551,0.647711139
4016800,2276026.944,1426750.858,0.626860267
4017200,2076615.058,1171163.678,0.563977264
4018000,1533595.044,708913.0042,0.46225567
4018501,1060457.971,659522.614,0.621922445
4018502,1059000.903,609292.9427,0.575346953
4019000,2026398.557,1332958.028,0.657796573
4023000,1782960.144,1118042.202,0.627070776
4023200,3557225.345,2068612.841,0.581524261
4024700,1000045.876,403118.5615,0.403100069
4025900,2014820.41,867382.5107,0.430501154
4026100,2384003.766,1414998.344,0.593538636
4026600,1861807.641,994315.226,0.534059053
4026901,1230343.788,825459.3925,0.670917674
4026902,844998.0225,577384.7252,0.683297132
4027000,1992018.841,1093293.222,0.548836788
4027100,1496180.538,1029761.312,0.688260063
4027200,1653862.64,1127042.437,0.681460727
4027300,2316635.901,1392208.773,0.600961408
4027400,1546921.116,1119693.492,0.723820679
4027500,1911640.188,1281220.047,0.670220293
4027700,1876123.383,1281741.952,0.683186385
4027900,1913241.97,1292283.311,0.675441649
4028000,1775383.46,1183519.136,0.66662733
4028100,1877449.707,1300045.339,0.692452817
4028300,1913172.899,1158896.395,0.605745772
4028500,1701419.415,1085626.076,0.638070817
4028700,2104983.114,1145864.309,0.544357958
4028900,1859020.463,1203554.872,0.647413461
4030903,3785525.773,2563477.147,0.677178627
