CTID,NUMPOINTS
5000900,306
1009800,284
1010000,186
1010200,98
1010400,172
1011300,5
1011402,133
1013000,367
1014000,381
1014801,84
1018400,245
1019000,188
1020600,334
3007800,275
3008000,250
1024900,108
1026100,282
1026300,266
1026900,299
1027700,269
3000501,149
3004100,354
3005800,211
3006000,179
3006700,341
3006900,367
3007400,221
3009800,250
3010100,338
3010200,240
3010400,154
3010800,185
3011000,117
3011400,239
3012801,572
3013000,205
3013200,292
3013300,316
3013700,239
3013900,237
3015100,284
3015300,230
3015500,273
3015700,330
5029102,860
3017000,169
3017800,165
3018600,109
3018800,173
3019000,170
3019200,100
3019400,162
3019500,283
3019600,191
3019700,387
3019800,118
3020400,186
3020800,128
3021000,144
3021200,201
3021400,150
3021900,262
3022000,276
3022100,231
3022200,208
3022700,345
3023500,214
3023600,281
3023800,286
3024000,192
3024200,190
3024500,281
3024600,146
3024700,198
3024800,88
3024900,273
3025000,87
3040600,217
3025200,196
3025400,141
3025600,184
3025800,246
3026000,166
3026200,278
3026300,393
3026400,286
3026600,228
3026700,313
3026800,238
3026900,203
3027000,157
3027200,150
3027300,228
3027400,123
3027600,176
3027800,202
3027900,222
3028400,169
3028501,47
3028800,203
3029100,203
3029300,267
3029700,497
3029800,287
3030000,285
3030500,367
3030900,182
3031701,188
3032300,265
3032900,236
3033100,209
3033700,503
3033900,197
3034100,163
3034200,221
3036300,307
3038800,123
3039600,253
3039700,247
3039900,277
3040100,240
3040400,192
3040800,140
3041300,293
3041401,290
3041500,284
3041700,315
3041800,272
3041900,206
3042000,286
3042100,257
3042600,188
3042700,244
3042800,188
3042900,459
3043000,200
3043100,300
3043200,172
3043300,316
3043400,176
3043500,311
3043600,174
3043900,267
3044000,408
3044100,242
3044200,282
3044300,284
3044400,308
3044600,169
3045200,373
3045400,195
3045600,224
3046000,465
3047000,253
3047200,320
3047600,271
3049500,168
3049900,266
3050300,193
3050500,281
3050801,72
3051001,38
3051400,204
3051601,169
3051602,93
3051700,647
3051800,318
3052000,329
3052600,324
3052800,376
3053000,197
3053200,232
3053300,317
3053400,257
3053800,256
3054200,228
3054400,269
3055000,244
3055200,186
3055800,247
3056000,206
3056200,202
3056400,295
3056600,219
3056800,169
3056900,163
3057000,319
3057100,338
3057200,89
3057300,263
3057400,192
3057600,197
3057800,209
3058000,244
3058600,178
3059100,706
3059200,283
3059401,583
3059402,434
3059600,195
3060000,622
3063200,129
3063600,192
3063800,176
3064000,235
3064600,176
3064800,188
3065000,178
3065200,237
3065400,212
3065600,208
3065800,187
3066000,206
3067000,304
3067200,155
3067400,167
3067600,181
3067800,212
3068000,156
3068200,218
3068600,234
3068800,129
3069000,122
3069200,246
3072800,242
3073400,229
3073800,218
3074000,151
3074400,288
3074600,318
3074800,328
3075000,240
3075200,265
3075400,313
3075600,341
3076000,250
3076200,252
3076400,288
3076800,346
3078400,159
3079000,295
3079200,262
3079601,155
3080000,283
3080400,196
3080600,220
3081400,149
3081800,138
3082400,242
3083200,174
3083600,140
3083800,164
3084000,167
3084600,180
3084800,179
3085000,179
3086200,179
3086400,238
3086600,259
3086800,214
3087000,232
3087800,197
3089000,250
3089600,179
3089800,229
3090200,227
3091600,264
3092400,340
3013500,354
3092800,82
3093000,186
3095400,381
3096400,189
3096600,253
3096800,130
3097000,166
3098400,111
3098600,219
3099200,117
3099400,98
3099600,218
3100400,111
3100600,116
3100800,107
3101000,194
3101400,225
3101600,150
3102000,238
3102400,165
3102600,144
3111000,23
3112400,403
