Census_Tracts,Time_Period,total
1000201,evening,12
1000201,latenight,9
1000201,midday,5
1000201,morning,2
1000202,evening,26
1000202,latenight,13
1000202,midday,13
1000202,morning,9
1000600,evening,57
1000600,latenight,35
1000600,midday,68
1000600,morning,27
1000700,evening,21
1000700,latenight,17
1000700,midday,32
1000700,morning,20
1000800,evening,26
1000800,latenight,16
1000800,midday,33
1000800,morning,18
1000900,evening,30
1000900,latenight,18
1000900,midday,56
1000900,morning,26
1001001,evening,4
1001001,latenight,4
1001001,midday,1
1001001,morning,2
1001002,evening,27
1001002,latenight,23
1001002,midday,19
1001002,morning,14
1001200,evening,31
1001200,latenight,25
1001200,midday,15
1001200,morning,18
1001300,evening,85
1001300,latenight,29
1001300,midday,91
1001300,morning,31
1001401,evening,6
1001401,latenight,7
1001401,midday,5
1001401,morning,0
1001402,evening,22
1001402,latenight,26
1001402,midday,26
1001402,morning,14
1001501,evening,22
1001501,latenight,16
1001501,midday,41
1001501,morning,13
1001502,evening,20
1001502,latenight,20
1001502,midday,38
1001502,morning,14
1001600,evening,45
1001600,latenight,37
1001600,midday,36
1001600,morning,25
1001800,evening,73
1001800,latenight,91
1001800,midday,61
1001800,morning,31
1002000,evening,13
1002000,latenight,8
1002000,midday,7
1002000,morning,1
1002100,evening,50
1002100,latenight,24
1002100,midday,51
1002100,morning,32
1002201,evening,41
1002201,latenight,25
1002201,midday,36
1002201,morning,15
1002202,evening,11
1002202,latenight,7
1002202,midday,5
1002202,morning,9
1002400,evening,15
1002400,latenight,20
1002400,midday,10
1002400,morning,8
1002500,evening,15
1002500,latenight,8
1002500,midday,5
1002500,morning,4
1002601,evening,47
1002601,latenight,20
1002601,midday,23
1002601,morning,11
1002602,evening,35
1002602,latenight,25
1002602,midday,18
1002602,morning,8
1002700,evening,14
1002700,latenight,12
1002700,midday,22
1002700,morning,8
1002800,evening,40
1002800,latenight,30
1002800,midday,29
1002800,morning,12
1002900,evening,26
1002900,latenight,26
1002900,midday,35
1002900,morning,15
1003001,evening,63
1003001,latenight,125
1003001,midday,30
1003001,morning,33
1003002,evening,14
1003002,latenight,40
1003002,midday,9
1003002,morning,6
1003100,evening,25
1003100,latenight,16
1003100,midday,47
1003100,morning,16
1003200,evening,44
1003200,latenight,48
1003200,midday,29
1003200,morning,22
1003300,evening,62
1003300,latenight,44
1003300,midday,76
1003300,morning,34
1003400,evening,50
1003400,latenight,43
1003400,midday,44
1003400,morning,20
1003601,evening,28
1003601,latenight,29
1003601,midday,23
1003601,morning,14
1003602,evening,26
1003602,latenight,47
1003602,midday,24
1003602,morning,12
1003700,evening,37
1003700,latenight,17
1003700,midday,25
1003700,morning,16
1003800,evening,66
1003800,latenight,92
1003800,midday,55
1003800,morning,36
1003900,evening,25
1003900,latenight,14
1003900,midday,56
1003900,morning,8
1004000,evening,46
1004000,latenight,61
1004000,midday,42
1004000,morning,22
1004100,evening,46
1004100,latenight,26
1004100,midday,45
1004100,morning,15
1004200,evening,22
1004200,latenight,34
1004200,midday,20
1004200,morning,7
1004300,evening,42
1004300,latenight,19
1004300,midday,48
1004300,morning,18
1004400,evening,13
1004400,latenight,13
1004400,midday,21
1004400,morning,5
1004500,evening,35
1004500,latenight,16
1004500,midday,35
1004500,morning,5
1004700,evening,49
1004700,latenight,21
1004700,midday,49
1004700,morning,16
1004800,evening,50
1004800,latenight,39
1004800,midday,34
1004800,morning,22
1004900,evening,127
1004900,latenight,23
1004900,midday,117
1004900,morning,20
1005000,evening,41
1005000,latenight,23
1005000,midday,49
1005000,morning,23
1005200,evening,120
1005200,latenight,38
1005200,midday,136
1005200,morning,28
1005400,evening,54
1005400,latenight,15
1005400,midday,70
1005400,morning,11
1005501,evening,28
1005501,latenight,14
1005501,midday,29
1005501,morning,17
1005502,evening,19
1005502,latenight,21
1005502,midday,25
1005502,morning,17
1005600,evening,31
1005600,latenight,16
1005600,midday,32
1005600,morning,12
1005700,evening,27
1005700,latenight,9
1005700,midday,29
1005700,morning,16
1005800,evening,74
1005800,latenight,34
1005800,midday,61
1005800,morning,25
1005900,evening,17
1005900,latenight,16
1005900,midday,33
1005900,morning,11
1006000,evening,9
1006000,latenight,14
1006000,midday,21
1006000,morning,10
1006100,evening,50
1006100,latenight,44
1006100,midday,31
1006100,morning,13
1006200,evening,16
1006200,latenight,10
1006200,midday,12
1006200,morning,11
1006300,evening,34
1006300,latenight,19
1006300,midday,34
1006300,morning,22
1006400,evening,65
1006400,latenight,47
1006400,midday,82
1006400,morning,36
1006500,evening,77
1006500,latenight,103
1006500,midday,45
1006500,morning,32
1006600,evening,36
1006600,latenight,40
1006600,midday,65
1006600,morning,31
1006700,evening,37
1006700,latenight,32
1006700,midday,28
1006700,morning,16
1006800,evening,52
1006800,latenight,39
1006800,midday,49
1006800,morning,20
1006900,evening,37
1006900,latenight,13
1006900,midday,25
1006900,morning,7
1007000,evening,29
1007000,latenight,23
1007000,midday,26
1007000,morning,25
1007100,evening,70
1007100,latenight,69
1007100,midday,58
1007100,morning,36
1007200,evening,42
1007200,latenight,48
1007200,midday,42
1007200,morning,24
1007300,evening,54
1007300,latenight,76
1007300,midday,40
1007300,morning,24
1007400,evening,47
1007400,latenight,47
1007400,midday,46
1007400,morning,28
1007500,evening,22
1007500,latenight,14
1007500,midday,16
1007500,morning,6
1007600,evening,112
1007600,latenight,60
1007600,midday,87
1007600,morning,34
1007700,evening,38
1007700,latenight,27
1007700,midday,28
1007700,morning,16
1007800,evening,23
1007800,latenight,17
1007800,midday,27
1007800,morning,13
