Census_Tracts,Time_Period,total
1000201,evening,6
1000201,latenight,5
1000201,midday,1
1000201,morning,1
1000202,evening,15
1000202,latenight,3
1000202,midday,4
1000202,morning,4
1000600,evening,16
1000600,latenight,10
1000600,midday,12
1000600,morning,5
1000700,evening,5
1000700,latenight,0
1000700,midday,3
1000700,morning,1
1000800,evening,6
1000800,latenight,3
1000800,midday,7
1000800,morning,3
1000900,evening,5
1000900,latenight,5
1000900,midday,8
1000900,morning,5
1001002,evening,17
1001002,latenight,12
1001002,midday,9
1001002,morning,10
1001200,evening,17
1001200,latenight,14
1001200,midday,7
1001200,morning,9
1001300,evening,9
1001300,latenight,6
1001300,midday,9
1001300,morning,4
1001401,evening,0
1001401,latenight,4
1001401,midday,0
1001401,morning,0
1001402,evening,3
1001402,latenight,2
1001402,midday,5
1001402,morning,4
1001501,evening,3
1001501,latenight,1
1001501,midday,5
1001501,morning,4
1001502,evening,0
1001502,latenight,2
1001502,midday,2
1001502,morning,1
1001600,evening,9
1001600,latenight,8
1001600,midday,7
1001600,morning,8
1001800,evening,7
1001800,latenight,14
1001800,midday,7
1001800,morning,2
1002000,evening,8
1002000,latenight,1
1002000,midday,2
1002000,morning,1
1002100,evening,4
1002100,latenight,3
1002100,midday,2
1002100,morning,2
1002201,evening,13
1002201,latenight,10
1002201,midday,13
1002201,morning,6
1002202,evening,2
1002202,latenight,2
1002202,midday,1
1002202,morning,3
1002400,evening,9
1002400,latenight,14
1002400,midday,4
1002400,morning,6
1002500,evening,10
1002500,latenight,4
1002500,midday,2
1002500,morning,4
1002601,evening,25
1002601,latenight,11
1002601,midday,7
1002601,morning,2
1002602,evening,14
1002602,latenight,10
1002602,midday,4
1002602,morning,3
1002700,evening,8
1002700,latenight,2
1002700,midday,8
1002700,morning,3
1002800,evening,15
1002800,latenight,18
1002800,midday,5
1002800,morning,3
1002900,evening,9
1002900,latenight,15
1002900,midday,18
1002900,morning,8
1003001,evening,7
1003001,latenight,32
1003001,midday,4
1003001,morning,12
1003002,evening,1
1003002,latenight,3
1003002,midday,2
1003002,morning,1
1003100,evening,11
1003100,latenight,8
