Census_Tracts,Time_Period,total
1000201,evening,6
1000201,latenight,4
1000201,midday,4
1000201,morning,1
1000202,evening,11
1000202,latenight,10
1000202,midday,9
1000202,morning,5
1000600,evening,41
1000600,latenight,25
1000600,midday,56
1000600,morning,22
1000700,evening,16
1000700,latenight,17
1000700,midday,29
1000700,morning,19
1000800,evening,20
1000800,latenight,13
1000800,midday,26
1000800,morning,15
1000900,evening,25
1000900,latenight,13
1000900,midday,48
1000900,morning,21
1001001,evening,4
1001001,latenight,4
1001001,midday,1
1001001,morning,2
1001002,evening,10
1001002,latenight,11
1001002,midday,10
1001002,morning,4
1001200,evening,14
1001200,latenight,11
1001200,midday,8
1001200,morning,9
1001300,evening,76
1001300,latenight,23
1001300,midday,82
1001300,morning,27
1001401,evening,6
1001401,latenight,3
1001401,midday,5
1001401,morning,0
1001402,evening,19
1001402,latenight,24
1001402,midday,21
1001402,morning,10
1001501,evening,19
1001501,latenight,15
1001501,midday,36
1001501,morning,9
1001502,evening,20
1001502,latenight,18
1001502,midday,36
1001502,morning,13
1001600,evening,36
1001600,latenight,29
1001600,midday,29
1001600,morning,17
1001800,evening,66
1001800,latenight,77
1001800,midday,54
1001800,morning,29
1002000,evening,5
1002000,latenight,7
1002000,midday,5
1002000,morning,0
1002100,evening,46
1002100,latenight,21
1002100,midday,49
1002100,morning,30
1002201,evening,28
1002201,latenight,15
1002201,midday,23
1002201,morning,9
1002202,evening,9
1002202,latenight,5
1002202,midday,4
1002202,morning,6
1002400,evening,6
1002400,latenight,6
1002400,midday,6
1002400,morning,2
1002500,evening,5
1002500,latenight,4
1002500,midday,3
1002500,morning,0
1002601,evening,22
1002601,latenight,9
1002601,midday,16
1002601,morning,9
1002602,evening,21
1002602,latenight,15
1002602,midday,14
1002602,morning,5
1002700,evening,6
1002700,latenight,10
1002700,midday,14
1002700,morning,5
1002800,evening,25
1002800,latenight,12
1002800,midday,24
1002800,morning,9
1002900,evening,17
1002900,latenight,11
1002900,midday,17
1002900,morning,7
1003001,evening,56
1003001,latenight,93
1003001,midday,26
1003001,morning,21
1003002,evening,13
1003002,latenight,37
1003002,midday,7
1003002,morning,5
1003100,evening,14
1003100,latenight,8
1003100,midday,27
1003100,morning,12
1003200,evening,38
1003200,latenight,44
1003200,midday,23
1003200,morning,20
1003300,evening,48
1003300,latenight,26
1003300,midday,65
1003300,morning,24
1003400,evening,45
1003400,latenight,34
1003400,midday,44
1003400,morning,16
1003601,evening,21
1003601,latenight,22
1003601,midday,17
1003601,morning,11
1003602,evening,24
1003602,latenight,40
1003602,midday,21
1003602,morning,7
1003700,evening,30
1003700,latenight,14
1003700,midday,22
1003700,morning,14
1003800,evening,58
1003800,latenight,61
1003800,midday,45
1003800,morning,28
1003900,evening,21
1003900,latenight,13
1003900,midday,43
1003900,morning,8
1004000,evening,44
1004000,latenight,56
1004000,midday,42
1004000,morning,17
1004100,evening,40
1004100,latenight,22
1004100,midday,42
1004100,morning,15
1004200,evening,19
1004200,latenight,28
1004200,midday,18
1004200,morning,7
1004300,evening,39
1004300,latenight,14
1004300,midday,44
1004300,morning,16
1004400,evening,10
1004400,latenight,9
1004400,midday,18
1004400,morning,5
1004500,evening,34
1004500,latenight,11
1004500,midday,32
1004500,morning,5
1004700,evening,48
1004700,latenight,18
1004700,midday,45
1004700,morning,14
1004800,evening,39
1004800,latenight,28
1004800,midday,30
1004800,morning,19
1004900,evening,122
1004900,latenight,23
1004900,midday,112
1004900,morning,19
1005000,evening,38
1005000,latenight,22
1005000,midday,44
1005000,morning,21
1005200,evening,111
1005200,latenight,28
1005200,midday,131
1005200,morning,25
1005400,evening,52
1005400,latenight,8
1005400,midday,66
1005400,morning,10
1005501,evening,27
1005501,latenight,12
1005501,midday,25
1005501,morning,17
1005502,evening,19
1005502,latenight,18
1005502,midday,22
1005502,morning,16
1005600,evening,30
1005600,latenight,15
1005600,midday,27
1005600,morning,11
1005700,evening,26
1005700,latenight,8
1005700,midday,28
1005700,morning,16
1005800,evening,69
1005800,latenight,28
1005800,midday,58
1005800,morning,25
1005900,evening,14
1005900,latenight,14
1005900,midday,32
