Census_Tracts,mean
1000201,1.4615384615384615
1000202,2.269230769230769
1000600,1.5348837209302326
1000700,2.0
1000800,2.3684210526315788
1000900,0.9565217391304348
1001002,1.9166666666666667
1001200,2.6808510638297873
1001300,2.0714285714285716
1001401,4.0
1001402,2.5
1001501,2.0
1001502,0.4
1001600,3.34375
1001800,2.7666666666666666
1002000,6.25
1002100,2.4545454545454546
1002201,3.7857142857142856
1002202,3.75
1002400,2.9393939393939394
1002500,2.45
1002601,2.2666666666666666
1002602,2.3870967741935485
1002700,2.3333333333333335
1002800,1.7804878048780488
1002900,3.38
1003001,2.672727272727273
1003002,4.285714285714286
1003100,4.348837209302325
1003200,4.944444444444445
1003300,2.2641509433962264
1003400,2.888888888888889
1003601,2.6956521739130435
1003602,3.7058823529411766
1003700,5.733333333333333
1003800,1.8245614035087718
1003900,1.8333333333333333
1004000,2.25
1004100,4.153846153846154
1004200,4.0
1004300,2.7142857142857144
1004400,3.8
1004500,2.888888888888889
1004700,1.7
1004800,3.4482758620689653
1004900,3.090909090909091
1005000,4.454545454545454
1005200,2.0
1005400,3.642857142857143
1005501,1.2857142857142858
1005502,2.4285714285714284
1005600,4.375
1005700,1.3333333333333333
1005800,3.2857142857142856
1005900,1.0
1006000,5.0
1006100,1.4
1006200,2.9444444444444446
1006300,4.875
1006400,2.2906976744186047
1006500,1.7017543859649122
1006600,2.422222222222222
1006700,3.066666666666667
1006800,4.153846153846154
1006900,3.0
1007000,1.75
1007100,3.607142857142857
1007200,1.7894736842105263
1007300,1.8695652173913044
1007400,1.625
1007500,2.6153846153846154
1007600,2.9285714285714284
1007700,3.8666666666666667
1007800,1.2307692307692308
1007900,1.6129032258064515
1008000,1.3333333333333333
1008100,4.142857142857143
1008200,2.75
1008300,3.418181818181818
1008400,2.933333333333333
1008601,0.0
1008602,1.0
1008700,3.4038461538461537
1008800,0.6
1008900,4.466666666666667
1009000,2.25
1009100,3.0
1009200,2.0
1009300,2.7
1009400,2.25
1009500,3.4166666666666665
1009600,2.466666666666667
1009700,2.375
1009800,1.5416666666666667
1009900,7.206896551724138
1010000,1.6666666666666667
1010100,4.03030303030303
1010200,3.0
