Taxi_Zone,Time_Period,total
1,evening,59722
1,latenight,4299
1,midday,94290
1,morning,61720
2,evening,17
2,latenight,10
2,midday,21
2,morning,17
3,evening,1801
3,latenight,2380
3,midday,1185
3,morning,875
4,evening,226042
4,latenight,183941
4,midday,107010
4,morning,50272
5,evening,159
5,latenight,316
5,midday,66
5,morning,70
6,evening,617
6,latenight,884
6,midday,356
6,morning,389
7,evening,134717
7,latenight,250004
7,midday,70527
7,morning,74208
8,evening,625
8,latenight,810
8,midday,428
8,morning,387
9,evening,2281
9,latenight,2123
9,midday,1335
9,morning,869
10,evening,17600
10,latenight,13116
10,midday,7963
10,morning,3872
11,evening,2395
11,latenight,3353
11,midday,1165
11,morning,1176
12,evening,12423
12,latenight,7084
12,midday,40248
12,morning,22704
13,evening,320558
13,latenight,164880
13,midday,388660
13,morning,248720
14,evening,26570
14,latenight,42218
14,midday,10083
14,morning,9298
15,evening,3454
15,latenight,2936
15,midday,2093
15,morning,1164
16,evening,5367
16,latenight,5828
16,midday,2958
16,morning,1894
17,evening,44440
17,latenight,96694
17,midday,19684
17,morning,21821
18,evening,3700
18,latenight,7347
18,midday,2302
18,morning,2995
19,evening,2184
19,latenight,2202
19,midday,1381
19,morning,866
20,evening,2589
20,latenight,3503
20,midday,2612
20,morning,2051
21,evening,3444
21,latenight,6022
21,midday,1728
21,morning,1908
22,evening,5185
22,latenight,9199
22,midday,2683
22,morning,2874
23,evening,800
23,latenight,1021
23,midday,509
23,morning,327
24,evening,144052
24,latenight,87668
24,midday,89500
24,morning,41036
25,evening,73765
25,latenight,81214
25,midday,37939
25,morning,22055
26,evening,7105
26,latenight,6289
26,midday,5893
26,morning,4447
27,evening,309
27,latenight,345
27,midday,221
27,morning,97
28,evening,7712
28,latenight,10161
28,midday,4824
28,morning,4141
29,evening,3218
29,latenight,3452
29,midday,2147
29,morning,1524
30,evening,87
30,latenight,194
30,midday,58
30,morning,60
31,evening,1078
31,latenight,856
31,midday,3002
31,morning,814
32,evening,2106
32,latenight,3310
32,midday,1168
32,morning,1332
33,evening,126019
33,latenight,109700
33,midday,62743
33,morning,36099
34,evening,3592
