boro_ct2010,Date,Time,Type
4011200,1/1/2017,0:01:00,PersonalCrime
2014100,1/1/2017,0:01:00,PersonalCrime
2004600,1/1/2017,0:01:00,PersonalCrime
4033402,1/1/2017,0:01:00,PersonalCrime
3038700,1/1/2017,18:00:00,PersonalCrime
3007000,1/1/2017,0:00:00,PersonalCrime
4046000,1/1/2017,0:01:00,PersonalCrime
1006400,1/1/2017,0:01:00,PersonalCrime
2014100,1/1/2017,0:01:00,PersonalCrime
4147100,1/1/2017,0:01:00,PersonalCrime
3085800,1/1/2017,0:01:00,PersonalCrime
3026300,1/1/2017,0:00:00,PersonalCrime
4094202,1/1/2017,0:01:00,PersonalCrime
4071100,1/1/2017,0:01:00,PersonalCrime
1022800,1/1/2017,8:00:00,PersonalCrime
2038000,1/1/2017,13:00:00,PersonalCrime
3078600,1/1/2017,14:44:00,PersonalCrime
3024200,1/1/2017,0:01:00,PersonalCrime
4051700,1/1/2017,15:10:00,PersonalCrime
5032300,1/1/2017,22:20:00,PersonalCrime
1011900,1/1/2017,10:55:00,PersonalCrime
3083200,1/1/2017,5:00:00,PersonalCrime
3009600,1/1/2017,5:15:00,PersonalCrime
3035100,1/1/2017,19:19:00,PersonalCrime
2003900,1/1/2017,23:00:00,PersonalCrime
2013300,1/1/2017,3:30:00,PersonalCrime
2023302,1/1/2017,2:20:00,PersonalCrime
4030903,1/1/2017,2:45:00,PersonalCrime
4036600,1/1/2017,11:50:00,PersonalCrime
2033202,1/1/2017,2:20:00,PersonalCrime
1015601,1/1/2017,0:10:00,PersonalCrime
4019600,1/1/2017,15:30:00,PersonalCrime
1018200,1/1/2017,2:52:00,PersonalCrime
3110400,1/1/2017,10:50:00,PersonalCrime
2039000,1/1/2017,5:30:00,PersonalCrime
4046800,1/1/2017,22:00:00,PersonalCrime
4016800,1/1/2017,0:01:00,PersonalCrime
2005100,1/1/2017,13:15:00,PersonalCrime
2006100,1/1/2017,3:20:00,PersonalCrime
2023900,1/1/2017,22:30:00,PersonalCrime
3115600,1/1/2017,19:00:00,PersonalCrime
2018102,1/1/2017,15:00:00,PersonalCrime
2006900,1/1/2017,1:35:00,PersonalCrime
3016100,1/1/2017,23:30:00,PersonalCrime
4014300,1/1/2017,1:00:00,PersonalCrime
1021600,1/1/2017,0:10:00,PersonalCrime
5004000,1/1/2017,0:50:00,PersonalCrime
3028900,1/1/2017,12:00:00,PersonalCrime
3013600,1/1/2017,10:55:00,PersonalCrime
4033402,1/1/2017,13:50:00,PersonalCrime
4028400,1/1/2017,2:45:00,PersonalCrime
2043100,1/1/2017,3:40:00,PersonalCrime
5029102,1/1/2017,0:01:00,PersonalCrime
1023000,1/1/2017,1:40:00,PersonalCrime
5032300,1/1/2017,12:00:00,PersonalCrime
3037700,1/1/2017,3:40:00,PersonalCrime
3052700,1/1/2017,0:01:00,PersonalCrime
2015500,1/1/2017,5:55:00,PersonalCrime
2028700,1/1/2017,10:15:00,PersonalCrime
1011100,1/1/2017,0:01:00,PersonalCrime
4046300,1/1/2017,6:30:00,PersonalCrime
4072100,1/1/2017,6:00:00,PersonalCrime
4117100,1/1/2017,2:05:00,PersonalCrime
1023501,1/1/2017,21:05:00,PersonalCrime
4032800,1/1/2017,16:00:00,PersonalCrime
4033402,1/1/2017,3:00:00,PersonalCrime
