boro_ct2010,Date,Time,Type
1020300,9/16/2017,0:41:00,PropertyCrime
3098200,10/8/2017,11:30:00,PropertyCrime
2017901,11/17/2017,9:00:00,PropertyCrime
3009200,5/10/2017,17:00:00,PropertyCrime
2040900,10/7/2017,3:00:00,PropertyCrime
3024500,9/9/2017,14:00:00,PropertyCrime
4028400,9/20/2017,6:30:00,PropertyCrime
1008900,12/11/2017,13:27:00,PropertyCrime
4094500,6/27/2017,22:30:00,PropertyCrime
2009300,10/8/2017,23:15:00,PropertyCrime
4015500,9/27/2017,16:00:00,PropertyCrime
1016500,5/30/2017,18:45:00,PropertyCrime
2017901,11/16/2017,17:00:00,PropertyCrime
1019900,6/27/2017,17:30:00,PropertyCrime
2007800,7/25/2017,16:25:00,PropertyCrime
4018700,8/19/2017,10:00:00,PropertyCrime
1025500,8/19/2017,21:00:00,PropertyCrime
1023700,11/19/2017,1:56:00,PropertyCrime
3107000,5/29/2017,1:40:00,PropertyCrime
3001100,10/10/2017,15:00:00,PropertyCrime
4091900,12/1/2017,14:00:00,PropertyCrime
2004100,7/26/2017,0:10:00,PropertyCrime
2019700,12/12/2017,18:00:00,PropertyCrime
4157101,7/8/2017,9:00:00,PropertyCrime
2017702,2/13/2017,16:50:00,PropertyCrime
3031300,9/15/2017,20:00:00,PropertyCrime
2006800,6/27/2017,8:50:00,PropertyCrime
1012500,1/1/2017,2:50:00,PropertyCrime
2036400,5/23/2017,0:55:00,PropertyCrime
2023704,2/8/2017,14:00:00,PropertyCrime
1018200,9/10/2017,17:45:00,PropertyCrime
2007500,6/2/2017,16:00:00,PropertyCrime
1010601,9/13/2017,12:00:00,PropertyCrime
4063900,2/15/2017,19:30:00,PropertyCrime
1014300,6/27/2017,20:50:00,PropertyCrime
2002500,11/28/2017,6:10:00,PropertyCrime
3020100,1/23/2017,14:00:00,PropertyCrime
2016100,10/4/2017,16:45:00,PropertyCrime
1007100,2/3/2017,11:00:00,PropertyCrime
2032400,11/9/2017,23:00:00,PropertyCrime
1004900,7/19/2017,17:00:00,PropertyCrime
3002100,10/9/2017,21:00:00,PropertyCrime
1006500,4/30/2017,7:00:00,PropertyCrime
1009100,11/27/2017,1:15:00,PropertyCrime
2024501,1/4/2017,16:00:00,PropertyCrime
2039400,4/5/2017,21:10:00,PropertyCrime
1018300,5/17/2017,3:00:00,PropertyCrime
1005501,12/6/2017,10:00:00,PropertyCrime
1030300,1/13/2017,13:00:00,PropertyCrime
4026000,12/6/2017,15:00:00,PropertyCrime
3044100,7/18/2017,10:00:00,PropertyCrime
3119200,1/7/2017,10:45:00,PropertyCrime
2042901,6/2/2017,20:00:00,PropertyCrime
3054200,7/13/2017,22:20:00,PropertyCrime
4080301,3/29/2017,17:00:00,PropertyCrime
4055900,1/10/2017,16:00:00,PropertyCrime
1001800,8/12/2017,2:00:00,PropertyCrime
3088800,6/26/2017,21:30:00,PropertyCrime
3027100,6/25/2017,18:38:00,PropertyCrime
3003000,8/4/2017,9:00:00,PropertyCrime
1007400,3/17/2017,23:00:00,PropertyCrime
3088200,7/1/2017,1:35:00,PropertyCrime
3016100,11/2/2017,15:00:00,PropertyCrime
1013900,3/3/2017,12:22:00,PropertyCrime
1008100,7/5/2017,9:30:00,PropertyCrime
3081800,8/29/2017,22:00:00,PropertyCrime
4122702,12/28/2017,13:30:00,PropertyCrime
4087100,9/1/2017,12:00:00,PropertyCrime
3051900,9/5/2017,9:00:00,PropertyCrime
1002201,11/1/2017,7:00:00,PropertyCrime
3036100,11/15/2017,14:00:00,PropertyCrime
4006502,7/17/2017,14:00:00,PropertyCrime
1014300,5/15/2017,0:01:00,PropertyCrime
2017500,10/2/2017,11:00:00,PropertyCrime
1026500,12/20/2017,9:00:00,PropertyCrime
1001502,12/12/2017,17:40:00,PropertyCrime
4045000,11/22/2017,7:00:00,PropertyCrime
3040600,3/4/2017,8:00:00,PropertyCrime
1003001,12/11/2017,17:24:00,PropertyCrime
2023702,11/18/2017,21:17:00,PropertyCrime
3050600,8/1/2017,9:17:00,PropertyCrime
1010800,6/13/2017,19:50:00,PropertyCrime
3083000,12/17/2017,9:00:00,PropertyCrime
1001800,12/12/2017,17:26:00,PropertyCrime
1016300,12/26/2017,12:00:00,PropertyCrime
1018900,12/21/2017,15:00:00,PropertyCrime
3008500,9/23/2017,4:58:00,PropertyCrime
3051200,11/2/2017,12:00:00,PropertyCrime
1018800,1/18/2017,21:34:00,PropertyCrime
3037100,8/31/2017,13:45:00,PropertyCrime
2040302,11/22/2017,5:49:00,PropertyCrime
1017200,1/21/2017,16:55:00,PropertyCrime
3051900,12/29/2017,15:00:00,PropertyCrime
2027700,12/30/2017,12:00:00,PropertyCrime
3083800,9/11/2017,14:15:00,PropertyCrime
3079200,12/31/2017,11:00:00,PropertyCrime
4050201,12/22/2017,0:26:00,PropertyCrime
2038900,10/5/2017,8:00:00,PropertyCrime
3111800,12/30/2017,14:30:00,PropertyCrime
5013201,12/19/2017,0:00:00,PropertyCrime
1006500,12/26/2017,13:00:00,PropertyCrime
3055100,12/13/2017,13:00:00,PropertyCrime
2014900,12/19/2017,15:00:00,PropertyCrime
3110600,10/3/2017,11:30:00,PropertyCrime
