Date,Time_Period,Census_Tracts,Volume
2017-01-16,evening,3026100,4
2017-01-16,evening,2038302,2
2017-01-16,evening,1005700,1
2017-01-16,evening,2021700,1
2017-01-16,evening,4033900,1
2017-01-16,latenight,2039901,2
2017-01-16,latenight,3007700,1
2017-01-16,latenight,4040500,1
2017-01-16,midday,1003300,2
2017-01-16,midday,2023900,2
2017-01-16,midday,1006400,1
2017-01-16,midday,2025300,1
2017-01-16,midday,3037500,1
2017-01-16,midday,3057300,1
2017-01-16,midday,4103201,1
2017-01-16,midday,5018901,1
2017-01-16,morning,1018600,2
2017-01-16,morning,2023501,2
2017-01-16,morning,3032600,1
2017-02-08,evening,1024100,2
2017-02-08,evening,3098200,2
2017-02-08,evening,4059300,2
2017-02-08,evening,1001600,1
2017-02-08,evening,1020901,1
2017-02-08,evening,2014400,1
2017-02-08,evening,2014701,1
2017-02-08,evening,2016300,1
2017-02-08,evening,2040100,1
2017-02-08,evening,2041300,1
2017-02-08,evening,3024500,1
2017-02-08,evening,3032600,1
2017-02-08,evening,4027700,1
2017-02-08,evening,4059500,1
2017-02-08,latenight,4046500,3
2017-02-08,latenight,2026300,2
2017-02-08,latenight,4079900,2
2017-02-08,latenight,1016400,1
2017-02-08,latenight,3039200,1
2017-02-08,latenight,3082200,1
2017-02-08,latenight,4040500,1
2017-02-08,midday,2033201,2
2017-02-08,midday,2039300,2
2017-02-08,midday,3006800,2
2017-02-08,midday,4157901,2
2017-02-08,midday,5020700,2
2017-02-08,midday,1001300,1
2017-02-08,midday,2014702,1
2017-02-08,midday,2017100,1
2017-02-08,midday,3015900,1
2017-02-08,midday,4009800,1
2017-02-08,midday,4094202,1
2017-02-08,midday,5024800,1
2017-02-08,morning,1002000,2
2017-02-08,morning,4016300,2
2017-02-08,morning,2023900,1
2017-02-08,morning,2024000,1
2017-02-08,morning,2024800,1
2017-02-08,morning,3040300,1
2017-02-08,morning,3051800,1
2017-02-08,morning,5018901,1
2017-02-20,evening,1022400,2
2017-02-20,evening,2006500,2
2017-02-20,evening,5004000,2
2017-02-20,evening,2021502,1
2017-02-20,evening,3000900,1
2017-02-20,evening,3002100,1
2017-02-20,evening,3031500,1
2017-02-20,evening,3051001,1
2017-02-20,evening,4020800,1
2017-02-20,evening,4040400,1
2017-02-20,latenight,1029300,2
2017-02-20,latenight,2013200,1
2017-02-20,latenight,3008000,1
2017-02-20,latenight,3009200,1
2017-02-20,latenight,3030500,1
2017-02-20,latenight,4028300,1
2017-02-20,midday,1024301,2
2017-02-20,midday,4040400,2
2017-02-20,midday,1004900,1
2017-02-20,midday,1006400,1
2017-02-20,midday,1012800,1
2017-02-20,midday,2015100,1
2017-02-20,midday,2026500,1
2017-02-20,morning,2039400,1
2017-02-20,morning,3035500,1
2017-02-21,evening,1014300,6
2017-02-21,evening,3012902,6
2017-02-21,evening,1018200,1
2017-02-21,evening,1024900,1
2017-02-21,evening,2005100,1
2017-02-21,evening,3028502,1
2017-02-21,evening,3052700,1
2017-02-21,evening,3098200,1
2017-02-21,evening,4122701,1
2017-02-21,latenight,5022300,3
2017-02-21,latenight,1011000,2
2017-02-21,latenight,2022500,2
2017-02-21,latenight,2017902,1
2017-02-21,latenight,2039901,1
2017-02-21,midday,3048400,3
2017-02-21,midday,1004900,2
2017-02-21,midday,2041400,2
2017-02-21,midday,2005002,1
2017-02-21,midday,2007200,1
2017-02-21,midday,2018102,1
2017-02-21,midday,3016000,1
2017-02-21,midday,3027300,1
2017-02-21,midday,3033100,1
2017-02-21,midday,3050804,1
2017-02-21,midday,3089800,1
2017-02-21,morning,2019900,2
2017-02-21,morning,1016200,1
2017-02-21,morning,2033202,1
2017-02-17,evening,4016400,3
2017-02-17,evening,5013301,3
2017-02-17,evening,4012301,2
2017-02-17,evening,4017200,2
2017-02-17,evening,2020100,1
2017-02-17,evening,2023502,1
2017-02-17,evening,3031701,1
2017-02-17,evening,4142900,1
2017-02-17,latenight,3008000,2
2017-02-17,latenight,2045800,1
2017-02-17,latenight,4046900,1
2017-02-17,latenight,4116300,1
2017-02-17,midday,2025600,2
2017-02-17,midday,1008900,1
2017-02-17,midday,1029300,1
2017-02-17,midday,3018700,1
2017-02-17,midday,3032500,1
2017-02-17,midday,3044900,1
2017-02-17,morning,1017700,1
2017-02-17,morning,1018900,1
2017-02-17,morning,3008400,1
2017-02-17,morning,4006202,1
