OBJECTID,stop_frisk1_XYTableToPoint_S_2,stop_frisk1_XYTableToPoint_S_3,geo_export_267875c8_5ee9_4cb_13
1,2017-01-16,14:26:00,1003300
2,2017-01-16,14:26:00,1003300
3,2017-02-08,11:10:00,1001300
4,2017-02-20,11:35:00,1004900
5,2017-02-21,13:20:00,1004900
6,2017-02-17,21:25:00,4142900
7,2017-02-25,20:00:00,1002100
8,2017-02-25,19:58:00,1002100
9,2017-02-21,13:15:00,1004900
10,2017-03-03,8:16:00,1001300
11,2017-03-16,18:44:00,1001501
12,2017-03-16,22:30:00,1001502
13,2017-03-31,4:45:00,1004700
14,2017-04-02,18:30:00,1001300
15,2017-04-02,0:00:00,1001300
16,2017-04-04,9:58:00,1031704
17,2017-03-24,11:15:00,1002100
18,2017-04-06,13:00:00,1003300
19,2017-04-18,8:00:00,1031900
20,2017-05-06,14:57:00,1004700
21,2017-05-10,4:15:00,1002100
22,2017-05-17,2:00:00,1003700
23,2017-05-17,2:20:00,1003700
24,2017-05-07,2:20:00,1003700
25,2017-05-17,2:20:00,1003700
26,2017-05-24,10:20:00,1004900
27,2017-06-08,23:25:00,1003300
28,2017-06-20,16:12:00,1000900
29,2017-07-06,21:58:00,1004700
30,2017-07-26,13:15:00,1004700
31,2017-08-30,16:30:00,1002100
32,2017-08-30,1:30:00,1001501
33,2017-09-06,2:30:00,1003900
34,2017-09-06,2:30:00,1003900
35,2017-08-14,23:28:00,1003300
36,2017-09-22,1:25:00,1003900
37,2017-09-22,1:25:00,1003900
38,2017-09-22,1:25:00,1003900
39,2017-09-22,20:35:00,1001501
40,2017-09-27,8:25:00,1001502
41,2017-10-12,9:35:00,1003700
42,2017-10-18,13:10:00,1004700
43,2017-10-20,13:00:00,1004900
44,2017-10-20,14:40:00,1001300
45,2017-10-31,15:45:00,1003900
46,2017-11-02,2:20:00,1000900
47,2017-11-02,2:20:00,1000900
48,2017-01-07,1:14:00,1004900
49,2017-01-08,3:00:00,1003601
50,2017-01-08,4:42:00,1004500
51,2017-01-01,2:40:00,1001600
52,2017-01-03,4:28:00,1002500
53,2017-01-12,14:00:00,1003100
54,2017-01-13,4:22:00,1001600
55,2017-01-30,17:59:00,1002500
56,2017-01-30,17:59:00,1002500
57,2017-01-30,16:00:00,1002500
58,2017-01-30,16:00:00,1002500
59,2017-01-12,15:30:00,1001800
60,2017-02-03,19:05:00,1003100
61,2017-02-03,19:05:00,1003100
62,2017-02-06,9:05:00,1003100
63,2017-02-12,16:10:00,1002900
64,2017-02-08,17:45:00,1001600
65,2017-02-18,15:00:00,1004700
66,2017-02-18,19:45:00,1002900
67,2017-02-25,5:46:00,1004900
68,2017-03-03,4:48:00,1003100
69,2017-03-03,4:48:00,1003100
70,2017-03-03,21:52:00,1001600
71,2017-03-07,17:50:00,1001600
72,2017-03-07,17:50:00,1001600
73,2017-03-07,17:50:00,1001600
74,2017-03-25,1:35:00,1000800
75,2017-03-25,19:50:00,1003001
76,2017-03-25,19:50:00,1003001
77,2017-03-25,19:50:00,1003001
78,2017-03-27,17:58:00,1001600
79,2017-04-01,2:56:00,1004100
80,2017-01-13,14:06:00,1001600
81,2017-04-30,13:25:00,1001600
82,2017-05-02,22:36:00,1001600
83,2017-05-02,22:22:00,1002900
84,2017-05-04,14:15:00,1001600
85,2017-05-09,13:25:00,1001800
86,2017-05-09,16:45:00,1004300
87,2017-05-08,13:20:00,1000800
88,2017-05-15,8:56:00,1001600
89,2017-05-16,23:55:00,1001600
90,2017-05-18,19:30:00,1003601
91,2017-05-27,20:45:00,1002500
92,2017-05-30,20:40:00,1002500
93,2017-06-04,15:30:00,1002500
94,2017-06-06,23:06:00,1003100
95,2017-06-09,20:54:00,1001600
96,2017-06-12,6:40:00,1001600
97,2017-06-13,6:35:00,1001600
98,2017-06-26,7:00:00,1001600
99,2017-06-27,7:50:00,1001600
100,2017-06-27,9:46:00,1002900
101,2017-07-05,9:05:00,1001600
102,2017-07-16,1:21:00,1004300
103,2017-07-16,1:21:00,1004300
104,2017-07-23,6:15:00,1001600
105,2017-07-26,15:30:00,1001600
106,2017-07-26,15:44:00,1001600
107,2017-07-23,21:10:00,1001600
108,2017-07-27,2:10:00,1003100
109,2017-08-03,23:42:00,1001600
110,2017-07-30,10:30:00,1002500
111,2017-07-23,21:17:00,1001600
112,2017-07-23,21:17:00,1001600
113,2017-07-23,21:17:00,1001600
114,2017-07-23,21:17:00,1001600
115,2017-07-23,21:17:00,1001600
116,2017-08-20,19:29:00,1001800
117,2017-08-21,18:39:00,1000800
118,2017-08-22,6:17:00,1004100
119,2017-08-26,15:50:00,1003001
120,2017-08-03,18:51:00,1004100
121,2017-08-29,3:00:00,1004300
122,2017-08-31,8:48:00,1001800
123,2017-08-30,11:55:00,1003100
124,2017-09-06,14:05:00,1001600
125,2017-09-15,12:00:00,1002900
126,2017-09-16,23:40:00,1000800
127,2017-09-18,9:20:00,1004300
128,2017-09-18,20:13:00,1004100
129,2017-09-20,22:20:00,1004100
130,2017-09-20,22:20:00,1004100
131,2017-09-30,19:25:00,1004100
132,2017-10-03,2:33:00,1001600
133,2017-10-03,2:33:00,1001600
134,2017-10-21,15:00:00,1000800
135,2017-10-29,21:21:00,1001600
136,2017-10-30,0:18:00,1001600
137,2017-10-30,0:18:00,1001600
138,2017-10-02,13:03:00,1003001
139,2017-11-01,20:45:00,1001600
140,2017-11-05,16:08:00,1002900
141,2017-11-15,19:30:00,1004300
142,2017-11-17,11:18:00,1002500
143,2017-11-17,12:30:00,1003001
144,2017-11-20,17:30:00,1001600
145,2017-11-28,20:40:00,1002500
146,2017-11-28,20:49:00,1002500
147,2017-12-03,20:10:00,1002500
148,2017-12-04,8:25:00,1000800
149,2017-12-06,20:00:00,1000800
150,2017-12-06,20:00:00,1000800
151,2017-12-12,9:20:00,1002500
152,2017-12-10,22:35:00,1002500
153,2017-12-10,22:35:00,1002500
154,2017-12-13,21:50:00,1001600
155,2017-12-29,16:11:00,1004100
156,2017-01-18,17:00:00,1006500
157,2017-01-18,17:00:00,1006500
158,2017-01-12,4:57:00,1007300
159,2017-01-11,13:00:00,1005900
160,2017-02-25,22:26:00,1007100
161,2017-02-28,17:35:00,1007100
162,2017-03-18,21:15:00,1005200
163,2017-03-27,2:30:00,1007700
164,2017-04-08,16:30:00,1005700
165,2017-04-11,10:39:00,1007300
166,2017-04-14,4:46:00,1007300
167,2017-04-15,21:00:00,1006900
168,2017-04-28,17:08:00,1007700
169,2017-04-28,17:08:00,1007100
170,2017-04-06,16:11:00,1006500
171,2017-04-11,10:15:00,1006500
172,2017-04-23,8:55:00,1006700
173,2017-05-06,18:00:00,1007300
174,2017-04-29,10:15:00,1007300
175,2017-05-12,0:01:00,1007300
176,2017-05-21,7:30:00,1007900
177,2017-05-26,18:49:00,1005501
178,2017-06-20,18:00:00,1007700
179,2017-06-24,17:42:00,1005900
180,2017-08-02,1:40:00,1007100
181,2017-08-01,2:36:00,1007500
182,2017-08-09,11:55:00,1005900
183,2017-08-10,3:15:00,1007900
184,2017-08-18,16:18:00,1005900
185,2017-08-19,15:45:00,1007300
186,2017-08-19,2:07:00,1007900
187,2017-09-05,2:15:00,1006300
188,2017-09-05,8:50:00,1006500
189,2017-09-07,23:24:00,1006100
190,2017-09-14,20:05:00,1006500
191,2017-09-28,9:26:00,1005900
192,2017-10-02,18:25:00,1006700
193,2017-08-16,22:14:00,1006500
194,2017-10-13,21:05:00,1008100
195,2017-08-02,19:50:00,1007700
196,2017-10-18,13:25:00,1007100
197,2017-10-22,2:00:00,1007900
198,2017-10-22,1:50:00,1007900
199,2017-10-22,1:20:00,1007900
200,2017-10-22,1:20:00,1007900
201,2017-10-26,2:28:00,1005900
202,2017-11-11,22:20:00,1006700
203,2017-11-04,16:43:00,1007500
204,2017-11-04,16:43:00,1007500
205,2017-11-04,16:43:00,1007500
206,2017-11-23,21:54:00,1006500
207,2017-11-30,13:11:00,1007100
208,2017-12-20,14:00:00,1007100
209,2017-01-03,2:35:00,1001002
210,2017-01-14,18:55:00,1002201
211,2017-01-19,12:20:00,1002201
212,2017-01-20,23:00:00,1000202
213,2017-01-20,23:00:00,1000202
214,2017-01-19,15:30:00,1000202
215,2017-01-22,17:35:00,1002201
216,2017-01-22,17:35:00,1002201
217,2017-01-22,17:35:00,1002201
218,2017-01-25,18:00:00,1000202
219,2017-02-01,20:15:00,1000600
220,2017-02-11,17:00:00,1001002
221,2017-02-07,15:10:00,1001402
222,2017-03-03,1:25:00,1001002
223,2017-03-03,22:35:00,1000600
224,2017-03-07,23:22:00,1000600
225,2017-03-08,18:20:00,1002201
226,2017-03-15,21:50:00,1000201
227,2017-03-23,22:40:00,1000600
228,2017-03-25,19:12:00,1001200
229,2017-03-29,10:15:00,1001002
230,2017-03-29,9:55:00,1001002
231,2017-03-30,13:45:00,1000600
232,2017-04-06,17:40:00,1002201
233,2017-04-06,17:59:00,1001002
234,2017-04-06,17:59:00,1001002
235,2017-04-06,21:18:00,1002201
236,2017-04-06,21:22:00,1002201
237,2017-04-06,21:22:00,1002201
238,2017-04-06,21:22:00,1002201
239,2017-04-06,21:22:00,1002201
240,2017-04-01,10:05:00,1000600
241,2017-04-08,21:05:00,1001600
242,2017-04-16,22:40:00,1001200
243,2017-04-10,12:20:00,1002201
244,2017-05-02,16:00:00,1000600
245,2017-05-03,10:15:00,1001002
246,2017-05-10,18:55:00,1002201
247,2017-05-12,12:35:00,1000600
248,2017-05-14,21:55:00,1002201
249,2017-05-14,21:55:00,1002201
250,2017-05-20,22:05:00,1001002
251,2017-05-20,20:05:00,1001002
252,2017-05-21,0:05:00,1001002
253,2017-05-25,5:00:00,1001402
254,2017-03-21,23:30:00,1001002
255,2017-03-21,23:30:00,1001002
256,2017-05-31,23:15:00,1001402
257,2017-06-17,23:10:00,1002201
258,2017-05-12,15:00:00,1001002
259,2017-06-17,20:11:00,1001002
260,2017-06-26,10:50:00,1000202
261,2017-07-08,23:58:00,1001002
262,2017-07-10,13:39:00,1001402
263,2017-07-10,13:39:00,1001402
264,2017-07-10,13:39:00,1001402
265,2017-07-13,13:45:00,1001402
266,2017-07-27,1:35:00,1001402
267,2017-07-12,17:06:00,1001800
268,2017-02-09,1:55:00,1002201
269,2017-07-24,15:40:00,1000201
270,2017-07-24,15:41:00,1000201
271,2017-08-06,1:58:00,1001002
272,2017-08-07,21:50:00,1001002
273,2017-08-04,21:30:00,1000201
274,2017-08-12,2:15:00,1001800
275,2017-08-18,23:40:00,1000600
276,2017-08-15,14:50:00,1002201
277,2017-08-25,19:50:00,1001002
278,2017-08-25,19:50:00,1001002
279,2017-08-31,11:23:00,1000600
